timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,knee_x, knee_y, knee_z,knee_qx, knee_qy, knee_qz, knee_qw
1745832307.087259,-4.04772,-5.41415,2.2911,-2.23748,-3.4365,3.4161,-0.0693313,-0.00148791,0.556574,0.117116,0.956194,-0.0908752,0.252427,0.731732,-0.224916,0.698665,0.082825,0.981778,0.0286782,-0.16861,0.128963,-0.0643036,0.49949,0.117116,0.956194,-0.0908752,0.252427,
1745832307.097229,-3.83502,-5.55794,2.41189,-2.27905,-3.57746,3.66643,-0.0693563,-0.00174403,0.557038,0.116533,0.95726,-0.0848594,0.250742,0.730579,-0.227005,0.700722,0.046566,0.981133,0.020379,-0.186532,0.129051,-0.0630666,0.498735,0.116533,0.95726,-0.0848594,0.250742,
1745832307.107251,-4.09998,-5.49066,2.35132,-2.26129,-3.48858,3.46162,-0.0694346,-0.00148077,0.556809,0.11684,0.956736,-0.0911152,0.250407,0.731773,-0.224948,0.698579,0.0824961,0.981816,0.0290846,-0.168482,0.128626,-0.064265,0.498886,0.11684,0.956736,-0.0911152,0.250407,
1745832307.117221,-4.08216,-5.44427,2.33638,-2.23592,-3.45326,3.44543,-0.0693334,-0.00149262,0.556579,0.117045,0.956212,-0.0907808,0.252425,0.731768,-0.224896,0.698503,0.0831367,0.982104,0.0282209,-0.166625,0.128973,-0.0642628,0.499486,0.117045,0.956212,-0.0907808,0.252425,
1745832307.127218,-3.77411,-5.65354,2.32827,-2.2991,-3.5774,3.68219,-0.0694664,-0.00145274,0.556765,0.116508,0.956719,-0.0915587,0.250464,0.730529,-0.226963,0.700601,0.0463067,0.981083,0.0212551,-0.186762,0.128618,-0.0642135,0.498898,0.116508,0.956719,-0.0915587,0.250464,
1745832307.147230,-4.03848,-5.51061,2.27767,-2.28288,-3.43537,3.47862,-0.0693368,-0.00149061,0.556573,0.117051,0.9562,-0.0908882,0.252427,0.731713,-0.224846,0.698552,0.083228,0.981791,0.0293909,-0.168216,0.128964,-0.064286,0.49949,0.117051,0.9562,-0.0908882,0.252427,
1745832307.157155,-3.86402,-5.5323,2.46462,-2.26424,-3.58656,3.64919,-0.0693558,-0.0017459,0.557033,0.116529,0.957261,-0.0847754,0.250771,0.730576,-0.227009,0.700719,0.0465027,0.981139,0.02046,-0.186509,0.129059,-0.0630486,0.498735,0.116529,0.957261,-0.0847754,0.250771,
1745832307.167145,-3.83343,-5.49912,2.42031,-2.2497,-3.56485,3.62543,-0.0693536,-0.00174555,0.557037,0.116524,0.957274,-0.0848404,0.250701,0.730565,-0.227016,0.700733,0.0465739,0.981161,0.0206152,-0.186358,0.12905,-0.0630611,0.498715,0.116524,0.957274,-0.0848404,0.250701,
1745832307.177226,-3.79593,-5.6,2.34164,-2.27481,-3.57735,3.64289,-0.0693613,-0.00146096,0.556541,0.116814,0.956196,-0.0912197,0.252432,0.730551,-0.227009,0.700679,0.0459174,0.980998,0.0213484,-0.187295,0.128951,-0.0642426,0.499483,0.116814,0.956196,-0.0912197,0.252432,
1745832307.187245,-3.8155,-5.61466,2.41744,-2.31074,-3.5749,3.697,-0.0693562,-0.00174709,0.557033,0.116556,0.957275,-0.0848114,0.250693,0.730549,-0.227004,0.700681,0.0458604,0.981004,0.0213439,-0.187274,0.129044,-0.0630678,0.498706,0.116556,0.957275,-0.0848114,0.250693,
1745832307.197227,-3.80645,-5.62478,2.33722,-2.28432,-3.58755,3.67013,-0.0693337,-0.00149212,0.556582,0.117085,0.956206,-0.0908843,0.252392,0.730579,-0.227011,0.700717,0.0465098,0.981147,0.0204688,-0.186463,0.128959,-0.0642989,0.499484,0.117085,0.956206,-0.0908843,0.252392,
1745832307.207168,-4.09938,-5.39014,2.3884,-2.24782,-3.45115,3.4388,-0.0693561,-0.00174648,0.557048,0.116555,0.957288,-0.0848208,0.250639,0.731724,-0.224904,0.698668,0.0829672,0.981786,0.0286982,-0.16849,0.129037,-0.0630691,0.498699,0.116555,0.957288,-0.0848208,0.250639,
1745832307.217244,-4.06258,-5.40178,2.3799,-2.24133,-3.40552,3.45249,-0.0693557,-0.0017487,0.55703,0.116537,0.957261,-0.0847742,0.250766,0.731703,-0.224811,0.698353,0.0842778,0.98217,0.0293225,-0.165467,0.129057,-0.0630542,0.49873,0.116537,0.957261,-0.0847742,0.250766,
1745832307.227270,-3.79133,-5.65527,2.31952,-2.30536,-3.58935,3.68041,-0.0693377,-0.00148992,0.556576,0.117074,0.956205,-0.0908365,0.252416,0.730607,-0.227019,0.700739,0.0459025,0.980933,0.0214437,-0.187628,0.128962,-0.0642825,0.499484,0.117074,0.956205,-0.0908365,0.252416,
1745832307.237211,-3.83009,-5.56831,2.4165,-2.28917,-3.57965,3.66174,-0.0693552,-0.00174829,0.557035,0.116544,0.95726,-0.0848722,0.250736,0.730609,-0.227017,0.700741,0.0459549,0.980924,0.0214047,-0.187666,0.129049,-0.0630775,0.498731,0.116544,0.95726,-0.0848722,0.250736,
