timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,sensor_x, sensor_y, sensor_z,sensor_qx, sensor_qy, sensor_qz, sensor_qw
1785334309.940772,-0.0478592,0.0288696,-0.000341654,0.00064671,0.00017333,0.000293136,0.0852659,0.120207,-0.325232,0.984571,0.0761293,0.00101378,0.157554,0.0674831,0.473508,0.0386761,-0.438969,0.0674875,0.0146128,0.895845,0.0464496,0.0821124,-0.206122,0.611477,-0.51676,-0.4666,-0.375952,
1785334309.950658,-0.0219727,0.0112915,-0.00705433,0.000546813,-0.000478745,0.000633121,0.0852178,0.120131,-0.32522,0.984648,0.0762545,0.0013236,0.157011,0.0674836,0.47351,0.0386772,-0.438968,0.0675066,0.0146339,0.895843,0.0461532,0.08188,-0.206073,0.612939,-0.514397,-0.468454,-0.374503,
1785334309.960763,-0.0392303,0.0855713,0.0192811,0.0011977,9.13143e-05,0.000815094,0.0852481,0.120247,-0.325229,0.984544,0.0759412,0.000966795,0.157814,0.0674924,0.47351,0.0386831,-0.438964,0.0675076,0.0146185,0.895846,0.0464399,0.0821254,-0.206131,0.611305,-0.516981,-0.466392,-0.376185,
1785334309.970763,0.00733948,-0.000793457,0.00626326,5.67436e-05,-0.000415683,-3.27826e-05,0.0852424,0.120244,-0.325237,0.984536,0.0762092,0.00100966,0.157733,0.0674989,0.47351,0.0386867,-0.438959,0.0675212,0.014616,0.895847,0.0464306,0.0821137,-0.206122,0.611415,-0.51674,-0.466622,-0.376053,
1785334309.980756,-0.0175095,-0.0584106,-0.0130703,-0.000501275,0.000335336,0.000221133,0.0852378,0.120249,-0.325229,0.984506,0.0765582,0.000723709,0.157753,0.0675041,0.473512,0.0386891,-0.438954,0.0675094,0.0145951,0.895851,0.0463394,0.0820758,-0.206104,0.611501,-0.51628,-0.466378,-0.376845,
1785334309.990748,-0.0289612,0.0392914,-0.0255432,-4.92334e-05,0.000593424,-0.000369787,0.0852303,0.120248,-0.325242,0.984548,0.0761182,0.000997657,0.157704,0.0675061,0.473513,0.0386899,-0.438957,0.0675148,0.014588,0.895849,0.046336,0.082083,-0.206107,0.611489,-0.51629,-0.466375,-0.376855,
1785334310.000642,-0.00602722,-0.00798035,-0.0129526,-0.000227332,9.63211e-05,-0.00025785,0.0852148,0.120227,-0.325203,0.984433,0.078824,2.0212e-05,0.157092,0.0675014,0.473506,0.0386879,-0.439026,0.0675052,0.0145834,0.895816,0.0460968,0.0818852,-0.206098,0.612614,-0.514406,-0.468406,-0.375081,
1785334310.010590,-0.0234299,0.0155945,0.0126898,0.000576615,0.000788331,-0.000287831,0.0852049,0.120224,-0.325208,0.984447,0.0787465,5.26556e-06,0.157045,0.0674935,0.47351,0.0386818,-0.438962,0.067487,0.0146147,0.895848,0.0460912,0.0818946,-0.206099,0.612807,-0.514502,-0.468333,-0.374726,
1785334310.020645,0.0201035,0.000686646,0.00624967,6.6638e-05,-0.000300765,-0.000374854,0.0851441,0.120142,-0.325205,0.984491,0.0792357,0.000488593,0.156521,0.0674928,0.473509,0.0386784,-0.438975,0.0675043,0.0146035,0.895841,0.0463055,0.0820419,-0.206114,0.611284,-0.516311,-0.466322,-0.377225,
1785334310.030634,-0.009758,0.000396729,-0.0130916,7.1764e-05,0.00026226,-1.4782e-05,0.0851497,0.120125,-0.325211,0.984492,0.0793752,0.000428133,0.156442,0.0674651,0.473505,0.0386769,-0.438992,0.0672335,0.0144045,0.895856,0.0460937,0.0819226,-0.206108,0.612852,-0.514432,-0.468471,-0.374575,
1785334310.040812,-0.00641632,-0.0140686,0.00021863,-0.000433326,0.000100255,-0.000250816,0.0851501,0.120128,-0.325206,0.984509,0.0791337,0.00032904,0.156457,0.0674906,0.473505,0.0386755,-0.438978,0.0674887,0.014591,0.895841,0.0461,0.0819175,-0.206101,0.612775,-0.514476,-0.468433,-0.374689,
1785334310.050628,-0.0432129,0.0392914,0.00659013,0.000452757,0.000874281,-0.000211835,0.0851453,0.120122,-0.325212,0.98449,0.0794164,0.000388654,0.156438,0.0674964,0.473506,0.0386756,-0.438975,0.0675259,0.0146348,0.895839,0.0460818,0.0818714,-0.206099,0.612599,-0.514406,-0.468455,-0.375045,
1785334310.060770,-0.00202179,-0.00250244,0.0199432,-0.000542164,0.00018239,-0.000685811,0.0851383,0.120135,-0.325206,0.984514,0.0791316,0.000458958,0.156429,0.0675039,0.473505,0.0386853,-0.43897,0.0675044,0.0145923,0.895843,0.0460906,0.0818785,-0.206101,0.612557,-0.514474,-0.468381,-0.375113,
1785334310.070623,-0.0150909,-0.0146332,0.0198822,-0.000441313,0.000443339,6.19888e-06,0.0851556,0.120131,-0.325207,0.984508,0.0793314,0.000402173,0.156365,0.0675053,0.473506,0.0386907,-0.438961,0.0674988,0.0145859,0.895848,0.0460902,0.0818764,-0.206096,0.612591,-0.514406,-0.468466,-0.375045,
1785334310.080753,0.00280762,-0.0102997,0.0261011,-0.000255346,-0.000243783,0.000235081,0.0852002,0.120256,-0.325201,0.984401,0.0790246,2.9089e-05,0.157193,0.067508,0.473511,0.0386946,-0.438962,0.0675249,0.0146119,0.895845,0.0462004,0.0819641,-0.206115,0.612688,-0.514909,-0.468795,-0.373782,
1785334310.090638,-0.0336304,0.0377655,0.00657129,0.00043869,0.000522375,0.000289142,0.0852127,0.120231,-0.325202,0.984444,0.078759,-3.22693e-05,0.157056,0.0675032,0.473514,0.038699,-0.438952,0.0675139,0.0146096,0.895851,0.0461023,0.0818832,-0.206091,0.612607,-0.514392,-0.468446,-0.375062,
1785334310.100660,-0.0403366,0.0141907,-0.0265162,0.000576615,0.000214219,-0.000110865,0.0852402,0.12026,-0.325226,0.984505,0.0765831,0.000725185,0.15775,0.0674984,0.47352,0.0387004,-0.438952,0.0675018,0.0146138,0.895852,0.0461272,0.081925,-0.206082,0.612992,-0.514213,-0.468645,-0.374429,
1785334310.110676,-0.0335007,-0.00793457,-0.000412941,0.000281692,0.000266314,-0.000261843,0.0852031,0.120172,-0.325222,0.984567,0.0771566,0.00123011,0.157077,0.0674983,0.473521,0.0387007,-0.438953,0.0674881,0.0146041,0.895853,0.0463649,0.0820452,-0.206079,0.611537,-0.516235,-0.466477,-0.376727,
1785334310.120747,0.0645905,-0.00856018,-0.000635386,0.000261784,-0.00102377,0.000367105,0.0852166,0.120178,-0.325216,0.984622,0.0762563,0.00134414,0.15717,0.0675016,0.47352,0.0387022,-0.438952,0.0674878,0.0146024,0.895853,0.0461524,0.0819367,-0.206079,0.612974,-0.514329,-0.468576,-0.374387,
1785334310.130739,0.0196381,-0.0280304,-0.039691,8.67844e-05,-0.000803709,0.000245154,0.0852598,0.120253,-0.325226,0.984546,0.076116,0.0010463,0.157719,0.0675046,0.473516,0.0387041,-0.438948,0.0674983,0.0146138,0.895855,0.0463841,0.0820897,-0.206088,0.611626,-0.516227,-0.466525,-0.376534,
1785334310.140756,0.0297775,0.000701904,-0.000513077,0.00014472,-0.0012778,0.000200093,0.0852629,0.12025,-0.325229,0.984553,0.075852,0.0010983,0.1578,0.0675098,0.473513,0.0387015,-0.438954,0.0675057,0.0145979,0.895851,0.0461702,0.0819264,-0.206072,0.61293,-0.514353,-0.468583,-0.374417,
1785334310.150608,-0.0603943,0.0298767,0.0196981,0.000222683,0.000306368,0.000472128,0.0852283,0.120131,-0.325214,0.984644,0.0764437,0.00139082,0.156942,0.0675083,0.473509,0.0386983,-0.438956,0.0675082,0.0146079,0.89585,0.0463878,0.0820403,-0.206074,0.611525,-0.516354,-0.466387,-0.376695,
1785334310.160753,-0.0278549,0.0455627,-0.0131586,0.00073576,0.000335336,0.000783145,0.0852693,0.120199,-0.325213,0.984585,0.0758718,0.000920569,0.15759,0.0674994,0.473499,0.0386865,-0.439043,0.0675085,0.0145768,0.895808,0.0463745,0.0820257,-0.206072,0.611547,-0.516322,-0.466296,-0.376816,
1785334310.170739,-0.0258636,0.0217438,0.0323677,0.000424743,-5.8651e-05,0.000709116,0.0852259,0.120116,-0.32521,0.984641,0.0760778,0.00134421,0.157138,0.0674916,0.473504,0.0386826,-0.438983,0.06749,0.0145985,0.895838,0.0464431,0.0820686,-0.206106,0.611409,-0.516899,-0.466431,-0.376082,
1785334310.180686,-0.0542831,0.00680542,0.0061686,0.000358701,0.000114322,-1.98483e-05,0.0852217,0.120118,-0.325218,0.984647,0.0758834,0.00143976,0.157192,0.0674881,0.473503,0.0386779,-0.438977,0.0674945,0.0146149,0.89584,0.046454,0.0821065,-0.20611,0.6114,-0.516851,-0.466534,-0.376033,
